"id","discipline","item_name","current_section","current_severity","current_applies","current_problem_class","current_norm_reference","normative_status","applicable_document_types","applicable_stages","applicability_conditions","normative_basis","exact_clause_or_section","confidence","can_be_reported_as_missing","recommended_severity","do_not_report_if","example_valid_missing_case","example_invalid_missing_case","current_norm_issues"
"KJ-10","KJ","Спецификация арматуры (класс, диаметр, длина)","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.501-2018, СП 63.13330.2018","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-11","KJ","Ведомость расхода стали","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.501-2018","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-12","KJ","Спецификация закладных деталей (ГОСТ 14098-2014)","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.502-2016","conditionally_mandatory","full_rd; specification_only","РД","Только если в КЖ есть закладные детали","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-13","KJ","Узлы армирования (колонна-плита, балка-колонна и т.п.)","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.501-2018, СП 63.13330.2018 п. 10","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-14","KJ","Узлы сварных соединений арматуры","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 14098-2014","conditionally_mandatory","full_rd","РД","Только при наличии сварных соединений арматуры","","","high","true","ЭКСПЛУАТАЦИОННОЕ","нет сварных соединений (все стыки вязаные/механические)","","",""
"KJ-15","KJ","Класс арматуры, диаметр, шаг, защитный слой на каждом элементе","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","СП 63.13330.2018 п. 10.3","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-16","KJ","Длина анкеровки / нахлёста","Mandatory required parameters","РЕКОМЕНДАТЕЛЬНОЕ","full_rd|specification_only","missing_mandatory_parameter","СП 63.13330.2018 п. 10.3.5","recommended","full_rd; specification_only","РД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","","Точный пункт 10.3.5 в СП 63 — сверить"
"KJ-17","KJ","Закладные для КМ/ЭОМ/ОВ","Mandatory coordination requirements","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","Coordination — process artifact","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-18","KJ","Отверстия в плитах для ОВ/ВК с армированием","Mandatory coordination requirements","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","conditionally_mandatory","full_rd","РД","Только при наличии отверстий ≥ установленного размера","","","medium","false","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"KJ-19","KJ","Привязка фундаментов к ИГИ","Mandatory coordination requirements","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 22.13330.2016","mandatory","full_rd","ПД","ИГИ — отдельный документ; в КЖ — ссылка","","","medium","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","Если есть ссылка «по данным ИГИ от …» — нормально","","",""
"KJ-20","KJ","Контроль качества бетонирования и приёмка скрытых работ","Mandatory testing / commissioning","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","СП 70.13330.2012","recommended","full_rd","РД","Часто в ППР","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-21","KJ","Расчёт прогибов и раскрытия трещин","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_calculation_basis","СП 63.13330.2018","recommended","full_rd","ПД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-22","KJ","Технологическая последовательность бетонных работ","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","СП 70.13330.2012","recommended","full_rd","РД","","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-23","KJ","Расчёт на ветровую нагрузку с пульсациями (≥ 75 м)","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 20.13330.2016","conditionally_mandatory","full_rd","ПД","Только для высоких зданий (≥ 75 м)","","","high","true","ЭКСПЛУАТАЦИОННОЕ","Здание ниже 75 м","","",""
"KJ-24","KJ","Расчёт на сейсмические воздействия (сейсмо-районы)","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 14.13330.2018","conditionally_mandatory","full_rd","ПД","Только в сейсмических районах ≥ 6 баллов","","","high","true","ЭКСПЛУАТАЦИОННОЕ","несейсмический район по карте ОСР","","",""
"KJ-25","KJ","Гидроизоляция и расчёт водонепроницаемости подземной части","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_section","СП 250.1325800.2016","conditionally_mandatory","full_rd","ПД; РД","Только при наличии подземной части","","","high","true","ЭКСПЛУАТАЦИОННОЕ","нет подземной части","","",""
"KM-01","KM","Общие данные: классы стали, обозначения швов, точность","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.502-2016 п. 4","mandatory","full_rd","ПД; РД","","ГОСТ 21.502-2016; ГОСТ 27772-2015","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"KM-02","KM","Антикоррозионная защита (система покрытия)","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 28.13330.2017","conditionally_mandatory","full_rd","ПД; РД","Подробный раздел — для агрессивной среды; для нормальной — ссылка достаточна","","","medium","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"KM-03","KM","Огнезащита несущих стальных элементов с пределом R","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 2.13130.2020","conditionally_mandatory","full_rd","ПД; РД","Только при требуемом пределе огнестойкости ≥ R15. Для R0 — не требуется.","СП 2.13130.2020; ФЗ-123","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-04","KM","Требования к контролю качества сварных соединений","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ Р ИСО 17637, ГОСТ 7512-82","recommended","full_rd","РД","Часто в ППР / технологических картах","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-05","KM","Расчётная схема каркаса с l_ef","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 16.13330.2017 п. 7-8","mandatory","full_rd","ПД","","","","high","true","КРИТИЧЕСКОЕ","","","",""
"KM-06","KM","Подбор сечений: прочность + устойчивость","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 16.13330.2017 п. 7.1","mandatory","full_rd","ПД","","","","high","true","КРИТИЧЕСКОЕ","","","",""
"KM-07","KM","Подбор по двум ГПС (прочность + прогиб)","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 20.13330.2016, СП 16.13330.2017 п. 6","mandatory","full_rd","ПД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-08","KM","Расчёт узлов и соединений (болт + сварка)","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 16.13330.2017 п. 14","mandatory","full_rd","ПД","","","","high","true","КРИТИЧЕСКОЕ","","","",""
"KM-09","KM","Ведомость элементов / отправочных марок","Mandatory required specifications","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.502-2016","mandatory","full_rd; specification_only","РД; КМД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-10","KM","Спецификация металлопроката по сортаменту","Mandatory required specifications","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 8239/8240/26020/30245","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-11","KM","Ведомость метизов (болты, заклёпки) с классом прочности","Mandatory required specifications","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","","conditionally_mandatory","full_rd; specification_only","РД","Только при наличии болтовых соединений","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-12","KM","Узлы соединений (опорные, монтажные стыки, узлы ферм)","Mandatory required diagrams","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.502-2016","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-13","KM","Монтажные схемы с маркировкой отправочных элементов","Mandatory required diagrams","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.502-2016","conditionally_mandatory","full_rd","РД; КМД","Монтажные схемы — атрибут КМ или КМД (детализации)","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-14","KM","На элементе: сечение профиля и класс стали","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","ГОСТ 27772-2015","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-15","KM","Болт: класс прочности, кол-во, шаг, μ для фрикц.","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","СП 16.13330.2017 п. 14","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-16","KM","Сварной шов: тип, k_f, длина, электроды","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-17","KM","Нагрузки от ОВ/ВК на покрытие и фермы","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","ПД; РД","Координация — задание смежнику","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-18","KM","Опирание перекрытий КЖ на металлические колонны","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","conditionally_mandatory","full_rd","РД","Только в гибридном каркасе КЖ+КМ","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-19","KM","Координация с АР по узлам сопряжения с фасадом","Mandatory coordination","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-20","KM","Контроль швов (РК/УЗД) и моменты затяжки болтов","Mandatory testing / commissioning","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","ГОСТ Р ИСО 17637, СП 70.13330.2012","recommended","full_rd","РД","Часто в ППР","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-21","KM","Явное указание γ_c, γ_n, γ_f","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_parameter","СП 16.13330.2017 п. 1.5","recommended","full_rd","ПД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-22","KM","Сертификат соответствия проката для ответственных конструкций","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd|specification_only","incomplete_specification","","recommended","full_rd; specification_only","РД","Сертификат — атрибут исполнительной документации, а не проектной","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KM-23","KM","Расширенный АКЗ-раздел при агрессивной среде","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_section","СП 28.13330.2017","conditionally_mandatory","full_rd","ПД; РД","Только при агрессивной/слабоагрессивной среде","","","high","true","ЭКСПЛУАТАЦИОННОЕ","среда неагрессивная","","",""
"KM-24","KM","Расчёт на динамические воздействия (высотные/большепролётные)","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 20.13330.2016","conditionally_mandatory","full_rd","ПД","Только для высотных и большепролётных объектов","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KM-25","KM","Расчёт устойчивости поясов и раскосов фермы","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","СП 16.13330.2017","conditionally_mandatory","full_rd","ПД","Только при ферменном решении покрытия","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"MULTI-01","MULTI","Сводный перечень разделов проекта","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd|audit_comparison","missing_mandatory_section","ГОСТ Р 21.1101-2013","conditionally_mandatory","full_rd; audit_comparison","ПД","Сводный перечень — атрибут проекта в целом (ПЗ или общая часть тома 1). Для одной марки РД не обязателен.","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","одна марка РД в PDF — сводный перечень не её атрибут","","","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"MULTI-02","MULTI","Каждое требование ТЗ имеет решение в РД","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","tz_vs_rd","missing_mandatory_section","ГОСТ Р 21.1101-2013","mandatory","tz_vs_rd","ПД; РД","","ГОСТ Р 21.101-2020","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type не tz_vs_rd","","","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"MULTI-03","MULTI","Отклонения от ТЗ оформлены явно (лист изм. / протокол)","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","tz_vs_rd","missing_mandatory_section","ГОСТ Р 21.1101-2013","mandatory","tz_vs_rd","ПД; РД","","","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"MULTI-04","MULTI","Сводная ведомость замечаний с статусом","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","audit_comparison","missing_mandatory_section","","mandatory","audit_comparison","ПД; РД","","","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"MULTI-05","MULTI","ЭОМ↔ОВ: P_уст вентиляторов совпадают","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ Р 21.1101-2013","recommended","full_rd","ПД; РД","Требует наличия обоих разделов в одном MD. Один MD = один раздел → проверять нельзя.","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","один MD = один раздел; cross-section consistency требует двух разделов одновременно","","","ГОСТ Р 21.1101-2013 заменён на ГОСТ Р 21.101-2020 — обновить ссылку"
"MULTI-06","MULTI","ЭОМ↔ВК: P_уст насосов совпадают","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","То же — нужны два раздела","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-07","MULTI","ЭОМ↔СС: мощность стойки СС совпадает с электробалансом","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","То же","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-08","MULTI","ОВ↔АПС (СС): алгоритм управления ПДВ","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 7.13130.2013; СП 484.1311500.2020","recommended","full_rd","ПД; РД","Алгоритм — обычно в АПС-разделе","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-09","MULTI","ВК↔АПС: запуск противопожарной насосной","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 10.13130.2020","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-10","MULTI","АР↔КЖ: габариты и привязки конструктивных элементов","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","Требует два раздела одновременно","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-11","MULTI","АР↔КМ: узлы сопряжения с фасадом","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-12","MULTI","КЖ↔КМ: закладные для опирания КМ на ж/б","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-13","MULTI","АР↔ОВ/ВК/ЭОМ: проходы и отверстия","Mandatory cross-section consistency","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-14","MULTI","Единицы измерения одинаковые во всех разделах","Mandatory parameter consistency","ЭКСПЛУАТАЦИОННОЕ","full_rd|audit_comparison|tz_vs_rd","missing_mandatory_parameter","","mandatory","full_rd; audit_comparison; tz_vs_rd","ПД; РД","Может проверяться внутри одного раздела (внутренние единицы)","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-15","MULTI","Параметры РД количественно совпадают с ТЗ","Mandatory parameter consistency","ЭКСПЛУАТАЦИОННОЕ","tz_vs_rd","missing_mandatory_parameter","","mandatory","tz_vs_rd","ПД; РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"MULTI-16","MULTI","Спецификация соответствует составу ТЗ","Mandatory parameter consistency","РЕКОМЕНДАТЕЛЬНОЕ","full_rd|specification_only","missing_mandatory_parameter","ГОСТ 21.110-2013","recommended","full_rd; specification_only","РД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-17","MULTI","Сводная схема взаимодействия инженерных систем","Mandatory required diagrams","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_diagram","","recommended","full_rd","ПД","","","","low","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-18","MULTI","Программа комплексных испытаний (АПС+ОВ+ЭОМ+ВК)","Mandatory testing","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-19","MULTI","Журнал согласований между смежниками","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-20","MULTI","Каждое замечание из исходного аудита прокомментировано","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","audit_comparison","incomplete_specification","","recommended","audit_comparison","ПД; РД","","","","high","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"MULTI-21","MULTI","Специфические требования ТЗ (BIM, LEED) — отражение в РД","Conditional items","ЭКСПЛУАТАЦИОННОЕ","tz_vs_rd","missing_mandatory_section","","conditionally_mandatory","tz_vs_rd","ПД; РД","Только при наличии таких требований в ТЗ","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"MULTI-22","MULTI","Статус устранения каждого КРИТ из исходного аудита","Conditional items","ЭКСПЛУАТАЦИОННОЕ","audit_comparison","missing_mandatory_section","","conditionally_mandatory","audit_comparison","ПД; РД","Только если исходный аудит содержал КРИТ","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-01","OV","Общие данные: клим. параметры, темп. график","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 60.13330.2020 п. 5","conditionally_mandatory","full_rd","ПД","Это атрибут ПД (раздел 5.3 ПП РФ 87), может быть в томе ПД, а не в РД-марке","","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно; document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","",""
"OV-02","OV","""Отопление"": тип системы, теплоноситель, регулирование","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 60.13330.2020","conditionally_mandatory","full_rd","ПД; РД","Только если объект отапливается (не для летних/неотапливаемых)","","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"OV-03","OV","""Вентиляция"": приток и вытяжка","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 60.13330.2020 п. 7","mandatory","full_rd","ПД; РД","","","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"OV-04","OV","""Противодымная вентиляция"" для МКД и общественных","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 7.13130.2013","conditionally_mandatory","full_rd","ПД; РД","Обязательна только для МКД ≥ 28 м и определённых общественных зданий (СП 7.13130.2013 п. 7.2)","СП 7.13130.2013","п. 7.2 (область применения)","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","низкие МКД < 28 м и обычные общественные без массового пребывания","","",""
"OV-05","OV","Расчёт воздухообмена по помещениям","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 60.13330.2020 п. 7","mandatory","full_rd","ПД","Атрибут ПД","","","high","true","КРИТИЧЕСКОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","",""
"OV-06","OV","Расчёт тепловых нагрузок и теплопотерь","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 60.13330.2020","mandatory","full_rd","ПД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-07","OV","Расчёт потерь давления, подбор вентустановок","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 60.13330.2020","mandatory","full_rd","ПД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-08","OV","Проверка кратности по нормативам помещений","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 60.13330.2020, СанПиН 1.2.3685-21","mandatory","full_rd","ПД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-09","OV","Гидравлический и акустический расчёт","Mandatory required calculations","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_calculation_basis","СП 60.13330.2020, СП 51.13330.2011","recommended","full_rd","ПД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"OV-10","OV","Спецификация оборудования и материалов","Mandatory required specifications","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.602-2016","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-11","OV","Ведомость воздуховодов (сечения, материалы, крепления)","Mandatory required specifications","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","","conditionally_mandatory","full_rd; specification_only","РД","Только при наличии воздуховодов (нет вентсистем — нет ведомости)","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-12","OV","Аксонометрические схемы и планы (П1, В1...)","Mandatory required diagrams","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.602-2016","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-13","OV","Узлы прохода воздуховодов через ограждения с ОЗК","Mandatory required diagrams","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","СП 7.13130.2013","conditionally_mandatory","full_rd","РД","Только при наличии огнезадерживающих клапанов в проекте","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-14","OV","На установке: L (м³/ч), P (Па)","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","СП 60.13330.2020","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-15","OV","На установке: P_уст (кВт), U, число фаз — для ЭОМ","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"OV-16","OV","КПД и класс энергоэффективности","Mandatory required parameters","РЕКОМЕНДАТЕЛЬНОЕ","full_rd|specification_only","missing_mandatory_parameter","","recommended","full_rd; specification_only","РД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"OV-17","OV","Передача в ЭОМ перечня электроприёмников ОВ","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","Coordination — задание смежнику","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"OV-18","OV","Координация с АПС — управление при пожаре","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 7.13130.2013","conditionally_mandatory","full_rd","ПД; РД","Только если есть АПС в проекте","","","medium","false","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"OV-19","OV","Координация с АР/КЖ по проходкам","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"OV-20","OV","Координация с газоснабжением (для кухонь с газом)","Mandatory coordination","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","conditionally_mandatory","full_rd","РД","Только при наличии газа","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
